partner_id,campaign_id,timestamp,ad_slot,clicks,impressions
PlayPals,PlayPals_camp_8,2024-04-22,slot_3,39,1038
BrightBlox,BrightBlox_camp_7,2024-04-05,slot_6,39,951
MiniMax,MiniMax_camp_1,2024-04-11,slot_6,51,1045
Funables,Funables_camp_1,2024-04-09,slot_3,45,1003
ToonJoy,ToonJoy_camp_8,2024-04-24,slot_6,42,
BrightBlox,BrightBlox_camp_9,2024-04-28,slot_8,40,1004
PlayPals,PlayPals_camp_4,2024-04-20,slot_3,37,1042
MiniMax,MiniMax_camp_8,2024-04-27,slot_5,44,
Funables,Funables_camp_2,2024-04-26,slot_1,21,994
ToonJoy,ToonJoy_camp_9,2024-04-03,slot_4,41,1042
MiniMax,MiniMax_camp_3,2024-04-16,slot_8,45,
Kidzsy,Kidzsy_camp_3,2024-04-30,slot_4,38,1022
BrightBlox,BrightBlox_camp_9,2024-04-05,slot_7,39,954
ToonJoy,ToonJoy_camp_10,2024-04-13,slot_4,17,1004
ZappyToys,ZappyToys_camp_6,2024-04-28,slot_3,38,1024
Funables,Funables_camp_3,2024-04-29,slot_3,56,983
MiniMax,MiniMax_camp_6,2024-04-21,slot_1,37,1003
ZappyToys,ZappyToys_camp_7,2024-04-22,slot_9,46,992
PlayPals,PlayPals_camp_5,2024-04-28,slot_5,27,976
ZappyToys,ZappyToys_camp_7,2024-04-17,slot_7,25,960
MiniMax,MiniMax_camp_1,2024-04-25,slot_2,32,973
PlayPals,PlayPals_camp_2,2024-04-18,slot_5,21,1059
Funables,Funables_camp_6,2024-04-11,slot_7,44,1018
ZappyToys,ZappyToys_camp_2,2024-04-02,slot_7,33,1021
PlayPals,PlayPals_camp_10,2024-04-02,slot_5,30,975
MiniMax,MiniMax_camp_10,2024-04-22,slot_9,47,1065
ZappyToys,ZappyToys_camp_10,2024-04-01,slot_2,36,1012
ZappyToys,ZappyToys_camp_10,2024-04-25,slot_9,18,1050
ZappyToys,ZappyToys_camp_4,2024-04-16,slot_10,29,946
Funables,Funables_camp_4,2024-04-21,slot_4,53,1020
ToonJoy,ToonJoy_camp_6,2024-04-13,slot_9,31,999
ToonJoy,ToonJoy_camp_8,2024-04-29,slot_9,22,991
BrightBlox,BrightBlox_camp_5,2024-04-26,slot_8,34,972
ToonJoy,ToonJoy_camp_7,2024-04-27,slot_4,44,994
Funables,Funables_camp_4,2024-04-24,slot_6,47,993
Funables,Funables_camp_10,2024-04-15,slot_10,43,985
BrightBlox,BrightBlox_camp_6,2024-04-16,slot_6,40,974
BrightBlox,BrightBlox_camp_8,2024-04-26,slot_8,31,995
PlayPals,PlayPals_camp_9,2024-04-19,slot_4,19,960
MiniMax,MiniMax_camp_9,2024-04-01,slot_10,59,1035
PlayPals,PlayPals_camp_10,2024-04-18,slot_10,20,1027
ZappyToys,ZappyToys_camp_2,2024-04-10,slot_5,17,1035
ZappyToys,ZappyToys_camp_8,2024-04-12,slot_7,51,989
ZappyToys,ZappyToys_camp_8,2024-04-08,slot_1,35,989
